ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10375,0,0,4,14,0,0,0,0,0,0
10376,0,17,33,22,0,0,0,0,0,0
10377,21,21,21,21,21,21,21,21,21,21
10378,0,0,0,0,0,0,0,0,0,0
10379,0,10,0,0,0,0,0,0,0,9
10380,0,0,0,0,0,18,0,0,0,0
10381,30,30,30,30,30,30,30,30,30,30
10382,0,0,0,0,0,0,0,0,0,0
10383,0,0,0,0,0,0,0,0,0,0
10384,0,0,0,0,0,0,0,0,0,0
10385,0,0,0,0,0,0,28,0,0,0
10386,26,26,26,26,26,26,26,26,26,26
10387,19,19,19,19,19,19,19,19,19,19
10388,23,0,0,15,0,0,0,28,18,0
10389,37,0,0,14,19,15,27,0,0,0
10390,18,18,18,18,18,18,18,18,18,18
10391,0,0,0,0,0,0,0,0,0,0
10392,0,0,0,0,0,0,0,0,0,0
10393,0,0,0,0,0,0,0,0,0,17
10394,0,14,16,0,0,0,24,0,0,0
10395,0,0,0,0,0,0,0,0,0,0
10396,24,10,9,0,18,0,0,11,21,0
10397,0,0,0,0,0,0,0,0,0,0
10398,6,6,6,6,6,6,6,6,6,6
10399,0,0,0,0,0,0,0,0,0,0
10400,0,0,0,0,0,0,0,0,0,0
10401,0,0,0,0,0,0,0,0,0,0
10402,0,0,0,0,0,0,0,16,0,0
10403,0,0,0,0,0,0,0,0,0,0
10404,0,0,13,0,0,0,0,0,0,0
10405,4,4,4,4,4,4,4,4,4,4
10406,8,8,15,10,17,13,23,10,7,9
10407,0,11,21,0,0,0,0,0,0,0
10408,0,0,0,0,0,0,0,0,0,0
10409,18,18,18,18,18,18,18,18,18,18
10410,8,17,0,0,29,0,0,0,15,11
10411,0,0,0,0,0,0,37,0,0,0
10412,0,0,0,0,0,0,0,0,0,0
10413,0,0,0,0,0,0,0,0,0,0
10414,0,0,0,0,0,32,0,0,0,0
10415,0,0,0,0,0,0,0,0,0,0
10416,0,0,0,0,0,0,0,0,0,0
10417,0,0,0,0,0,0,0,0,0,0
10418,0,0,0,0,0,0,0,0,0,0
10419,19,19,19,19,19,19,19,19,19,19
10420,0,26,0,20,0,0,0,20,0,16
10421,0,0,0,0,0,0,0,0,0,0
10422,6,6,6,6,6,6,6,6,6,6
10423,0,0,0,0,0,0,0,0,0,0
10424,0,0,0,0,0,0,0,0,0,0
10425,0,0,0,21,0,0,15,23,0,0
10426,10,19,10,10,10,10,21,10,10,10
10427,0,0,0,0,0,0,0,0,0,0
10428,0,0,0,0,0,0,0,0,0,0
10429,0,0,0,0,0,0,0,0,0,0
10430,0,0,0,0,0,0,0,0,0,0
10431,20,20,20,20,20,20,20,20,20,20
10432,0,0,0,0,0,0,0,0,0,0
10434,0,0,0,0,0,0,0,0,0,0
10435,30,30,30,30,30,30,30,30,30,30
10436,0,0,0,0,0,0,0,7,0,0
10437,0,0,0,0,0,0,0,0,0,0
10438,0,0,0,0,0,0,0,0,0,0
10439,0,0,0,0,0,0,0,0,0,0
10440,0,0,0,0,0,0,0,0,0,0
10441,0,0,0,0,0,0,0,0,0,0
10442,18,18,18,18,18,18,18,18,18,18
10443,0,0,0,0,0,0,0,0,0,0
10444,12,12,12,12,12,12,12,12,12,12
10445,0,20,0,0,0,14,0,0,18,0
10446,0,0,0,0,0,0,0,7,0,0
10447,0,0,0,0,0,0,0,0,0,0
10448,23,23,23,23,23,23,23,23,23,23
10449,0,0,0,0,0,0,0,0,0,0
10450,0,0,0,0,0,0,0,0,0,0
10451,0,0,0,0,0,0,0,0,0,0
10452,9,9,9,9,9,9,9,9,9,9
10453,12,12,12,12,12,12,12,12,12,12
10454,19,19,20,0,0,0,0,0,0,0
10455,0,0,0,0,0,0,0,0,0,0
10456,25,0,0,29,31,0,15,23,15,0
10457,0,0,0,0,0,0,0,0,0,8
10458,0,0,0,0,0,0,0,0,0,0
10459,22,22,22,22,22,22,22,22,22,22
10460,28,28,28,28,28,28,28,28,28,28
10461,0,0,0,0,0,0,0,0,0,0
10462,0,0,0,0,17,0,0,0,0,0
10463,0,0,0,0,0,0,0,0,0,0
10464,0,0,0,0,0,0,0,0,0,0
10465,0,0,0,0,0,0,0,0,0,0
10466,0,0,0,0,0,0,0,0,0,0
10467,0,0,0,0,0,0,0,0,0,0
10468,36,0,25,0,0,0,0,0,0,0
10469,0,0,0,0,0,0,0,0,0,0
10470,0,0,0,0,0,0,0,0,0,0
10471,0,0,0,0,0,0,0,0,0,0
10472,0,0,0,0,0,0,0,0,0,0
10473,13,12,8,11,6,18,13,2,11,14
10474,0,0,0,0,0,0,0,0,0,0
10475,0,0,0,9,0,18,19,23,17,13
10476,0,0,0,0,0,0,0,0,0,0
10477,0,0,0,0,0,0,0,0,0,0
10478,4,4,4,4,12,4,18,12,12,4
10479,0,3,5,0,0,0,0,0,0,0
10480,0,0,0,0,0,0,0,0,0,0
10481,0,0,0,0,0,0,0,0,0,0
10482,0,0,0,0,0,0,0,0,17,0
